right_skewed__liveness,right_skewed__speechiness,right_skewed__duration_s,remainder__acousticness,remainder__danceability,remainder__tempo,remainder__valence,remainder__popularity,audio_name,album,norm_name,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Component_21,Component_22,Component_23,Component_24,Component_25,Component_26,Component_27,Component_28,Component_29,Component_30,Component_31,Component_32,Component_33,Component_34,Component_35,Component_36,Component_37,Component_38,Component_39,Component_40,lyrics_name,id
-0.5908433359818877,-0.8626445197435729,-0.0578637864534423,0.4908920678352755,-0.6513366685432127,2.112395183807659,-0.5524434854372902,1.8308612135728255,Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,fortnight,0.039576214,0.029530186,-0.08088266,-0.010701385,0.05598583,0.1308512,0.08555976,-0.053720642,0.050592713,-0.1073439,0.0072618504,-0.150476,-0.009497885,-0.08640523,0.07046506,-0.022876393,0.035998862,-0.08274493,0.13046755,-0.15678267,0.036890883,0.043139417,0.016937258,-0.1603561,0.041655503,-0.064274065,0.04453576,0.00043724148,-0.07082497,0.029985711,0.012634252,0.0024832215,0.08786654,-0.07765817,0.0545072,0.05167151,-0.080846615,-0.00686292,-0.018076407,-0.031182466,Fortnight,0
0.1289319683591242,-1.3118369589550356,1.2575376071662108,-0.8951453536550645,0.2206098614709563,-0.4402991583944033,-0.492847678826091,1.4356631223503986,The Tortured Poets Department,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,thetorturedpoetsdepartment,-0.23277257,0.022692928,0.004415831,-0.057339903,0.06061552,0.11519303,0.19118898,-0.17384213,0.14007312,-0.05114758,0.095996186,-0.0047655124,0.119091965,-0.010654395,0.092973396,0.02608098,-0.018056799,-0.060262457,-0.013943395,0.13028741,0.036381546,0.01310326,-0.13576522,-0.05921245,0.09102778,-0.10587116,0.116518274,-0.0076863975,0.0006432773,-0.08242557,-0.08103079,0.02359658,0.08976442,-0.028296242,-0.052970584,0.02986906,-0.0011815673,0.02316903,0.061592452,0.050575245,TheTorturedPoetsDepartment,1
1.7939077347204226,-1.1869139421388937,-0.7403150772321331,-0.6241699970621768,0.1508541390698227,-0.8520653532231564,0.5311166347663334,1.567395819424541,My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,myboyonlybreakshisfavoritetoys,0.061366722,-0.00014336484,-0.0326212,0.02028419,0.033157006,-0.081228666,-0.091936626,-0.025774442,-0.19085519,0.019441668,0.08049315,-0.02103137,-0.07442865,-0.05143618,0.086044796,0.19400452,0.020534774,-0.049170446,0.13809234,0.036838785,0.0935421,-0.039961416,-0.037888907,-0.12952964,0.02209449,-0.034001224,0.09314028,0.044515043,0.15940738,0.05500451,0.095128916,-0.043558408,-0.04058059,-0.037008673,0.12843879,0.10732422,0.10914775,-0.023802914,0.07467909,-0.046169948,MyBoyOnlyBreaksHisFavoriteToys,2
-0.633483248771806,1.1906489441333976,0.6628552892509433,0.6680800123943229,-0.3287164524379697,1.1038396859778223,-1.1646549533523376,1.8308612135728255,Down Bad,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,downbad,-0.29020104,-0.015495202,0.096631214,-0.08051437,0.05661509,-0.09665452,-0.14169268,-0.032415412,0.08494011,-0.043582562,0.11659524,-0.15697078,-0.007217644,0.15225689,0.1514493,0.07067423,-0.16833404,-0.15939999,-0.07276084,0.0066344147,-0.09698421,-0.032268353,0.028886821,-0.19693427,-0.023493987,0.07957493,-0.07228823,-0.09955765,-0.013144049,0.00457252,0.03885151,0.07177584,-0.0030285537,0.058495592,-0.009926527,0.010552056,-0.0060776635,-0.111954845,0.06148988,-0.01038856,DownBad,3
-1.0340824679626794,2.196510785060535,0.7033078893013278,1.1874239878260129,-1.35761335785469,1.1197969531974106,-0.7312309052708882,1.567395819424541,"So Long, London",THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,solong_london,-0.082341276,-0.056767613,-0.17538224,-0.051203165,-0.022304144,0.022868192,0.07656965,-0.1771885,-0.06009846,0.062043305,0.0180255,0.042632762,0.11271305,-0.07370177,0.10524031,-0.014074238,-0.03428496,-0.0475015,-0.048730772,-0.08130884,0.08222553,0.042688195,-0.05197335,-0.025877427,0.03966425,0.07197231,0.077824704,0.0407412,-0.050471924,-0.044193808,-0.029603459,-0.047822956,0.0120428745,-0.017779047,0.0104832165,-0.014685399,-0.026566295,0.040686876,0.012058524,-0.07417239,SoLong_London,4
0.3040647552681355,1.7048516372394922,1.9678718328945697,0.1304062495944553,-0.5031057584408039,-1.3869929216606305,0.2981512089225544,1.6991285164986834,But Daddy I Love Him,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,butdaddyilovehim,-0.10165496,0.14035253,-0.05856344,-0.12703434,0.13452336,-0.050909687,-0.031517114,0.035331286,-0.21118842,0.057193533,0.0051727914,0.12217961,-0.0029313725,0.08550827,0.06508591,0.04526882,-0.016645862,0.012217121,0.011260173,-0.0006365495,-0.10863517,-0.03634756,-0.05031574,0.01935719,-0.033826794,0.0017959598,0.06046026,0.09953349,-0.005108164,-0.020569382,0.052797027,0.050256867,0.07268699,-0.06157241,-0.044511106,-0.076740846,-0.024763295,-0.02153608,0.003504154,0.06942113,ButDaddyILoveHim,5
-0.2031270700199046,-0.2252034462098003,-0.5365617485287356,0.8635977443215472,-2.1685236307678672,-1.1630290850678946,-0.2327932499772211,1.3039304252762562,Fresh Out The Slammer,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,freshouttheslammer,0.07169653,0.1374263,-0.06474259,-0.098852396,0.15701053,-0.14150167,-0.0086645475,0.021082005,-0.10306804,-0.0290346,-0.05779631,0.13261323,-0.028859004,-0.1129875,-0.008984305,0.11004129,0.0073869606,-0.05830914,-0.07508025,0.037789274,-0.05358093,-0.006811121,-0.056299973,-0.045198917,-0.110495605,-0.042720575,-0.08109357,0.100070305,-0.034142494,0.038353853,0.092907764,-0.021792304,0.038846187,-0.08230545,-0.12662685,-0.014578624,-0.067843124,0.009692517,0.023830941,-0.043705087,FreshOutTheSlammer,6
1.818079607325152,1.9790230180121535,-0.4248000481524625,-0.4989164500462987,-0.3984721748391034,0.8034620863981338,0.0814391848818297,1.4356631223503986,Florida!!! (feat. Florence + The Machine),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,florida___,-0.109875165,0.18803234,-0.1132635,-0.07421475,0.1924329,0.095663294,-0.010153812,0.029749611,-0.014490322,-0.17255633,-0.09327221,-0.06573708,-0.07208763,-0.11675651,-0.015080637,-0.03514509,-0.12784317,0.0039229565,0.015289632,-0.19672146,-0.06435121,0.10198801,-0.094123326,-0.017523453,-0.07908673,-0.02363181,-0.04452003,-0.05787469,-0.0012542817,-0.10846397,0.01913915,-0.054558534,0.0682592,-0.006270239,-0.0089709,0.073524565,0.007904043,0.0045137573,-0.014229357,-0.051893618,Florida___,7
-0.7061286897600243,-1.2577231958547184,0.5173739771245185,0.8116633467783781,0.4124380980740738,-0.9183613968771408,0.5636234383724422,1.8308612135728255,Guilty as Sin?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,guiltyassin_,-0.15260945,0.0014409344,-0.10069015,-0.13811032,-0.002008472,0.2558823,-0.10026745,-0.2221131,-0.039173216,0.016658492,-0.06306481,-0.07517637,-0.13170981,0.05703238,-0.05076517,0.05495753,-0.06673666,-0.043732896,0.0540397,-0.04928658,-0.07424563,-0.02334376,-0.027769702,0.03180518,0.034268502,0.10736967,0.037581813,0.031901695,0.0029736955,-0.0036713071,-0.039379276,0.07114563,0.049607165,0.02988845,0.0017957507,-0.081522636,0.0142960325,-0.019113058,0.06163287,0.017709687,GuiltyasSin_,8
-0.3262935681204836,0.226328284996382,1.8859564983327133,-0.0803863051395836,0.2380487920712397,-0.1398591037571039,-0.7854089112810695,1.6991285164986834,Who’s Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,whosafraidoflittleoldme_,-0.31964037,0.17902108,-0.05230102,-0.0028199302,0.16104914,-0.03806934,0.07740093,-0.00025442004,-0.0073845834,0.103032894,-0.03950814,0.10291993,-0.104069695,0.10986603,0.055508815,0.04530305,0.021416817,0.051052634,0.013513977,-0.003910267,0.068529375,0.05002233,-0.044637974,0.01681167,0.03872885,0.09800734,0.13410006,-0.0025867166,-0.0046864334,-0.030122615,0.057339203,-0.047792386,-0.02021213,-0.0030359945,-0.08553292,0.13840476,-0.08169604,-0.10523623,0.02955162,0.007109186,WhosAfraidofLittleOldMe_,9
